Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: extrapolated  c= 1 mg/ml  Code: extrapolated
 0.000000E+00   1.077257e+001  3.149835e-002
 1.532120E-04   1.077257e+001  3.149835e-002
 5.346850E-04   1.077257e+001  3.149835e-002
 9.161580E-04   1.077257e+001  3.149835e-002
 1.297631E-03   1.077257e+001  3.149835e-002
 1.679104E-03   1.077257e+001  3.149835e-002
 2.060577E-03   1.077257e+001  3.149835e-002
 2.442050E-03   1.077257e+001  3.149835e-002
 2.823523E-03   1.077257e+001  3.149835e-002
 3.204996E-03   1.077257e+001  3.149835e-002
 3.586469E-03   1.077257e+001  3.149835e-002
 3.967942e-003  1.077257e+001  3.149835e-002
 4.349415e-003  6.891702e+000  1.856240e-002
 4.730875e-003  4.702409e+000  1.352256e-002
 5.112334e-003  3.463976e+000  1.147925e-002
 5.493808e-003  2.579868e+000  9.598548e-003
 5.875267e-003  1.981135e+000  8.087681e-003
 6.256727e-003  1.584852e+000  6.742706e-003
 6.638200e-003  1.277551e+000  5.864585e-003
 7.019660e-003  1.055181e+000  5.099636e-003
 7.401119e-003  8.795946e-001  4.414004e-003
 7.782593e-003  7.637613e-001  4.037166e-003
 8.164052e-003  6.767827e-001  3.607521e-003
 8.545512e-003  5.898576e-001  3.279010e-003
 8.926985e-003  5.360141e-001  3.032445e-003
 9.308445e-003  4.850076e-001  2.716628e-003
 9.689905e-003  4.359025e-001  2.564311e-003
 1.007138e-002  4.057338e-001  2.392845e-003
 1.045284e-002  3.763622e-001  2.268313e-003
 1.083430e-002  3.532107e-001  2.116325e-003
 1.121576e-002  3.347122e-001  2.038126e-003
 1.159723e-002  3.170508e-001  1.942722e-003
 1.197869e-002  2.996482e-001  1.839268e-003
 1.236015e-002  2.896645e-001  1.752712e-003
 1.274162e-002  2.761383e-001  1.695952e-003
 1.312308e-002  2.691103e-001  1.645112e-003
 1.350454e-002  2.624829e-001  1.620080e-003
 1.388597e-002  2.533303e-001  1.523463e-003
 1.426754e-002  2.477712e-001  1.494959e-003
 1.464898e-002  2.419756e-001  1.444251e-003
 1.503041e-002  2.382032e-001  1.443656e-003
 1.541184e-002  2.306016e-001  1.386202e-003
 1.579327e-002  2.282757e-001  1.323632e-003
 1.617484e-002  2.259796e-001  1.334637e-003
 1.655627e-002  2.195654e-001  1.286894e-003
 1.693771e-002  2.176329e-001  1.264965e-003
 1.731914e-002  2.112667e-001  1.225894e-003
 1.770071e-002  2.125734e-001  1.207784e-003
 1.808214e-002  2.076155e-001  1.210344e-003
 1.846357e-002  2.043125e-001  1.163725e-003
 1.884500e-002  2.016392e-001  1.134794e-003
 1.922657e-002  2.000426e-001  1.130293e-003
 1.960801e-002  1.986029e-001  1.100416e-003
 1.998944e-002  1.950494e-001  1.108038e-003
 2.037087e-002  1.938599e-001  1.052902e-003
 2.075230e-002  1.921188e-001  1.060362e-003
 2.113387e-002  1.898683e-001  1.035262e-003
 2.151530e-002  1.875575e-001  1.025640e-003
 2.189674e-002  1.852036e-001  1.006363e-003
 2.227817e-002  1.835935e-001  9.911964e-004
 2.265974e-002  1.809382e-001  9.870255e-004
 2.304117e-002  1.793711e-001  9.650863e-004
 2.342260e-002  1.784275e-001  9.513191e-004
 2.380403e-002  1.757795e-001  9.321534e-004
 2.418560e-002  1.751164e-001  9.277764e-004
 2.456704e-002  1.741795e-001  9.214169e-004
 2.494847e-002  1.711407e-001  9.033346e-004
 2.532990e-002  1.706780e-001  8.842233e-004
 2.571133e-002  1.664664e-001  8.698371e-004
 2.609290e-002  1.659686e-001  8.651709e-004
 2.647433e-002  1.637451e-001  8.593560e-004
 2.685577e-002  1.640656e-001  8.337553e-004
 2.723720e-002  1.626119e-001  8.455502e-004
 2.761877e-002  1.613038e-001  8.277108e-004
 2.800020e-002  1.569821e-001  8.049093e-004
 2.838163e-002  1.568061e-001  7.988258e-004
 2.876306e-002  1.531010e-001  7.829844e-004
 2.914463e-002  1.532605e-001  7.925123e-004
 2.952607e-002  1.522164e-001  7.745404e-004
 2.990750e-002  1.499990e-001  7.586939e-004
 3.028893e-002  1.480876e-001  7.700582e-004
 3.067036e-002  1.465439e-001  7.677930e-004
 3.105193e-002  1.457441e-001  7.755635e-004
 3.143336e-002  1.432237e-001  7.670212e-004
 3.181480e-002  1.438398e-001  7.598035e-004
 3.219623e-002  1.404564e-001  7.640726e-004
 3.257780e-002  1.391078e-001  7.523958e-004
 3.295923e-002  1.377070e-001  7.521044e-004
 3.334066e-002  1.372336e-001  7.421503e-004
 3.372209e-002  1.347655e-001  7.388436e-004
 3.410366e-002  1.332192e-001  7.362987e-004
 3.448510e-002  1.314804e-001  7.297827e-004
 3.486653e-002  1.307653e-001  7.203307e-004
 3.524796e-002  1.285025e-001  7.173316e-004
 3.562953e-002  1.270919e-001  7.117568e-004
 3.601096e-002  1.254884e-001  7.024685e-004
 3.639239e-002  1.231873e-001  6.936634e-004
 3.677383e-002  1.221707e-001  6.877319e-004
 3.715526e-002  1.196842e-001  6.899173e-004
 3.753683e-002  1.193722e-001  6.768214e-004
 3.791826e-002  1.181983e-001  6.749669e-004
 3.829969e-002  1.174282e-001  6.742514e-004
 3.868112e-002  1.153049e-001  6.449973e-004
 3.906269e-002  1.132258e-001  6.352387e-004
 3.944413e-002  1.126947e-001  6.212213e-004
 3.982556e-002  1.108882e-001  6.073720e-004
 4.020699e-002  1.079041e-001  5.991437e-004
 4.058856e-002  1.081981e-001  5.888687e-004
 4.096999e-002  1.059217e-001  5.864121e-004
 4.135142e-002  1.052992e-001  5.705704e-004
 4.173286e-002  1.034136e-001  5.659387e-004
 4.211429e-002  1.011219e-001  5.571731e-004
 4.249586e-002  1.018314e-001  5.519095e-004
 4.287729e-002  9.976439e-002  5.453480e-004
 4.325872e-002  9.771657e-002  5.338427e-004
 4.364015e-002  9.549254e-002  5.242493e-004
 4.402172e-002  9.570147e-002  5.296354e-004
 4.440316e-002  9.387539e-002  5.172454e-004
 4.478459e-002  9.256838e-002  5.204579e-004
 4.516602e-002  9.151634e-002  5.241069e-004
 4.554759e-002  8.985830e-002  5.175648e-004
 4.592902e-002  8.878675e-002  5.220853e-004
 4.631045e-002  8.717983e-002  5.038205e-004
 4.669189e-002  8.674261e-002  5.106927e-004
 4.707332e-002  8.476829e-002  5.022648e-004
 4.745489e-002  8.406669e-002  5.027539e-004
 4.783632e-002  8.316296e-002  4.987605e-004
 4.821775e-002  8.074391e-002  4.864886e-004
 4.859918e-002  8.041589e-002  4.938418e-004
 4.898075e-002  7.943900e-002  4.813336e-004
 4.936219e-002  7.848518e-002  4.812508e-004
 4.974362e-002  7.572987e-002  4.731270e-004
 5.012505e-002  7.452727e-002  4.635196e-004
 5.050662e-002  7.416185e-002  4.697930e-004
 5.088805e-002  7.229702e-002  4.557811e-004
 5.126948e-002  7.089804e-002  4.543440e-004
 5.165092e-002  7.015399e-002  4.497142e-004
 5.203249e-002  6.945257e-002  4.478295e-004
 5.241392e-002  6.859728e-002  4.465396e-004
 5.279535e-002  6.801391e-002  4.356824e-004
 5.317678e-002  6.671728e-002  4.382001e-004
 5.355821e-002  6.590769e-002  4.306036e-004
 5.393978e-002  6.391195e-002  4.257486e-004
 5.432122e-002  6.383169e-002  4.224117e-004
 5.470265e-002  6.162521e-002  4.160448e-004
 5.508408e-002  6.093851e-002  4.127278e-004
 5.546565e-002  6.006735e-002  4.091141e-004
 5.584708e-002  5.962072e-002  4.062983e-004
 5.622851e-002  5.815781e-002  3.981451e-004
 5.660995e-002  5.720355e-002  3.979769e-004
 5.699152e-002  5.608125e-002  3.918893e-004
 5.737295e-002  5.525841e-002  3.871900e-004
 5.775438e-002  5.375123e-002  3.845656e-004
 5.813581e-002  5.344566e-002  3.796112e-004
 5.851724e-002  5.267158e-002  3.765617e-004
 5.889881e-002  5.207402e-002  3.755772e-004
 5.928025e-002  5.121386e-002  3.676562e-004
 5.966168e-002  5.047295e-002  3.680529e-004
 6.004311e-002  4.978051e-002  3.655196e-004
 6.042468e-002  4.854250e-002  3.689553e-004
 6.080611e-002  4.809056e-002  3.617673e-004
 6.118754e-002  4.760200e-002  3.677284e-004
 6.156898e-002  4.639738e-002  3.618727e-004
 6.195055e-002  4.554952e-002  3.644779e-004
 6.233198e-002  4.504528e-002  3.588837e-004
 6.271341e-002  4.377599e-002  3.552454e-004
 6.309484e-002  4.328368e-002  3.585992e-004
 6.347627e-002  4.316481e-002  3.545134e-004
 6.385784e-002  4.268943e-002  3.576503e-004
 6.423928e-002  4.165685e-002  3.526949e-004
 6.462071e-002  4.135290e-002  3.496205e-004
 6.500214e-002  4.045289e-002  3.446328e-004
 6.538371e-002  4.013888e-002  3.384990e-004
 6.576514e-002  3.862533e-002  3.312460e-004
 6.614657e-002  3.902575e-002  3.276815e-004
 6.652801e-002  3.832168e-002  3.270343e-004
 6.690958e-002  3.800550e-002  3.259425e-004
 6.729101e-002  3.739513e-002  3.163177e-004
 6.767244e-002  3.632094e-002  3.131813e-004
 6.805387e-002  3.599655e-002  3.048039e-004
 6.843544e-002  3.558543e-002  3.069306e-004
 6.881687e-002  3.523729e-002  3.029155e-004
 6.919831e-002  3.470522e-002  2.984077e-004
 6.957974e-002  3.418042e-002  2.959261e-004
 6.996117e-002  3.414312e-002  2.946879e-004
 7.034274e-002  3.358031e-002  2.897332e-004
 7.072417e-002  3.357316e-002  2.876549e-004
 7.110560e-002  3.273360e-002  2.858530e-004
 7.148704e-002  3.265703e-002  2.859267e-004
 7.186861e-002  3.209692e-002  2.818557e-004
