Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: Apoferritin_1_b  c= 1 mg/ml  Code: extrapolated
  0.000000e+00   1.077257e+01   1.285915e-02
  3.921570e-03   7.659501e+00   7.479788e-03
  7.843140e-03   8.284504e-01   1.373184e-03
  1.176470e-02   3.184114e-01   6.159555e-04
  1.568630e-02   2.314602e-01   4.351977e-04
  1.960780e-02   1.984764e-01   3.357315e-04
  2.352940e-02   1.774428e-01   2.997067e-04
  2.745100e-02   1.604311e-01   2.620302e-04
  3.137250e-02   1.446926e-01   2.416757e-04
  3.529410e-02   1.285081e-01   2.158019e-04
  3.921570e-02   1.129136e-01   1.998066e-04
  4.313730e-02   9.867848e-02   1.713781e-04
  4.705880e-02   8.515278e-02   1.520060e-04
  5.098040e-02   7.223170e-02   1.448165e-04
  5.490200e-02   6.179818e-02   1.315267e-04
  5.882350e-02   5.232920e-02   1.191097e-04
  6.274510e-02   4.441895e-02   1.080904e-04
  6.666670e-02   3.798681e-02   1.024155e-04
  7.058820e-02   3.347856e-02   9.184815e-05
  7.450980e-02   3.015383e-02   8.113384e-05
  7.843140e-02   2.792342e-02   8.000193e-05
  8.235290e-02   2.676603e-02   7.689175e-05
  8.627450e-02   2.657118e-02   7.530202e-05
  9.019610e-02   2.683955e-02   7.087240e-05
  9.411760e-02   2.750600e-02   7.411863e-05
  9.803920e-02   2.835035e-02   7.408641e-05
  1.019610e-01   2.922829e-02   7.068349e-05
  1.058820e-01   3.019814e-02   7.420617e-05
  1.098040e-01   3.080502e-02   7.436031e-05
  1.137250e-01   3.121126e-02   7.863685e-05
  1.176470e-01   3.130857e-02   7.719682e-05
  1.215690e-01   3.127715e-02   7.709945e-05
  1.254900e-01   3.100596e-02   7.474448e-05
  1.294120e-01   3.061768e-02   7.711725e-05
  1.333330e-01   3.003177e-02   6.927087e-05
  1.372550e-01   2.920333e-02   6.960978e-05
  1.411760e-01   2.855356e-02   6.756758e-05
  1.450980e-01   2.776425e-02   6.255970e-05
  1.490200e-01   2.720218e-02   6.408821e-05
  1.529410e-01   2.663083e-02   6.266948e-05
  1.568630e-01   2.629711e-02   6.154870e-05
  1.607840e-01   2.606469e-02   5.767958e-05
  1.647060e-01   2.582374e-02   5.943205e-05
  1.686270e-01   2.567191e-02   5.841803e-05
  1.725490e-01   2.586367e-02   5.502684e-05
  1.764710e-01   2.585764e-02   5.734764e-05
  1.803920e-01   2.596474e-02   5.692662e-05
  1.843140e-01   2.604938e-02   5.646649e-05
  1.882350e-01   2.625867e-02   5.351062e-05
  1.921570e-01   2.637006e-02   5.695438e-05
  1.960780e-01   2.642162e-02   5.950847e-05
  2.000000e-01   2.637192e-02   5.695998e-05
  2.039220e-01   2.631923e-02   5.693488e-05
  2.078430e-01   2.641575e-02   5.586851e-05
  2.117650e-01   2.622214e-02   5.504752e-05
  2.156860e-01   2.616984e-02   5.179557e-05
  2.196080e-01   2.603605e-02   5.363586e-05
  2.235290e-01   2.594684e-02   5.305026e-05
  2.274510e-01   2.580401e-02   5.238421e-05
  2.313730e-01   2.578042e-02   4.940734e-05
  2.352940e-01   2.558101e-02   5.110892e-05
  2.392160e-01   2.555112e-02   5.085754e-05
  2.431370e-01   2.553036e-02   4.812921e-05
  2.470590e-01   2.556408e-02   5.012174e-05
  2.509800e-01   2.545048e-02   4.972135e-05
  2.549020e-01   2.551230e-02   4.995135e-05
  2.588240e-01   2.543722e-02   4.717113e-05
