Sample description: water
Sample: water  c= 0 mg/ml  Code: water
Parent(s): cell-water.dat
 1.176470e-002  7.760375e-002  1.015939e-004
 1.568630e-002  4.252207e-002  6.070104e-005
 1.960780e-002  3.303259e-002  5.024907e-005
 2.352940e-002  2.931312e-002  4.476908e-005
 2.745100e-002  2.762368e-002  4.069153e-005
 3.137250e-002  2.685478e-002  3.554077e-005
 3.529410e-002  2.616916e-002  3.508216e-005
 3.921570e-002  2.588724e-002  3.537159e-005
 4.313730e-002  2.565024e-002  3.347825e-005
 4.705880e-002  2.550210e-002  4.189936e-005
 5.098040e-002  2.526382e-002  3.213087e-005
 5.490200e-002  2.515721e-002  3.108359e-005
 5.882350e-002  2.506697e-002  3.124257e-005
 6.274510e-002  2.501216e-002  2.934952e-005
 6.666670e-002  2.504977e-002  2.983160e-005
 7.058820e-002  2.499260e-002  2.811372e-005
 7.450980e-002  2.499006e-002  2.856367e-005
 7.843140e-002  2.493945e-002  2.767473e-005
 8.235290e-002  2.479932e-002  3.037036e-005
 8.627450e-002  2.488318e-002  2.781164e-005
 9.019610e-002  2.499128e-002  3.284939e-005
 9.411760e-002  2.482965e-002  2.837754e-005
 9.803920e-002  2.483483e-002  2.606659e-005
 1.019610e-001  2.479606e-002  2.643856e-005
 1.058820e-001  2.483016e-002  2.499356e-005
 1.098040e-001  2.482982e-002  2.547845e-005
 1.137250e-001  2.479591e-002  2.407510e-005
 1.176470e-001  2.472905e-002  2.448842e-005
 1.215690e-001  2.474256e-002  2.309192e-005
 1.254900e-001  2.473351e-002  2.368964e-005
 1.294120e-001  2.472519e-002  2.250035e-005
 1.333330e-001  2.478286e-002  2.219263e-005
 1.372550e-001  2.481804e-002  2.759192e-005
 1.411760e-001  2.474565e-002  2.358019e-005
 1.450980e-001  2.475144e-002  2.271102e-005
 1.490200e-001  2.475141e-002  2.273690e-005
 1.529410e-001  2.478746e-002  2.155316e-005
 1.568630e-001  2.480694e-002  2.201036e-005
 1.607840e-001  2.478930e-002  2.089139e-005
 1.647060e-001  2.474728e-002  2.133791e-005
 1.686270e-001  2.473450e-002  2.033142e-005
