Sample description: XL
Sample: XL  c= 0 mg/ml  Code: 
Parent(s): SASDEW3.dat
 0.806470e-002  9.060465e-001  6.346868e-004
 1.176470e-002  7.860465e-001  6.346868e-004
 1.568630e-002  6.686047e-001  4.893401e-004
 1.960780e-002  5.627907e-001  3.995548e-004
 2.352940e-002  4.613953e-001  3.117556e-004
 2.745100e-002  3.733721e-001  2.783852e-004
 3.137250e-002  3.020349e-001  2.398761e-004
 3.529410e-002  2.392248e-001  2.105180e-004
 3.921570e-002  1.863954e-001  2.216024e-004
 4.313730e-002  1.460465e-001  2.341465e-004
 4.705880e-002  1.140698e-001  2.298763e-004
 5.098040e-002  8.795866e-002  1.871814e-004
 5.490200e-002  6.790698e-002  1.782856e-004
 5.882350e-002  5.453488e-002  1.639628e-004
 6.274510e-002  4.442377e-002  1.456835e-004
 6.666670e-002  3.695930e-002  1.475352e-004
 7.058820e-002  3.189535e-002  1.422496e-004
 7.450980e-002  2.825000e-002  1.377680e-004
 7.843140e-002  2.499419e-002  1.339027e-004
 8.235290e-002  2.244961e-002  1.227606e-004
 8.627450e-002  2.005814e-002  1.267275e-004
 9.019610e-002  1.816860e-002  1.238900e-004
 9.411760e-002  1.618088e-002  1.139563e-004
 9.803920e-002  1.442894e-002  1.112170e-004
 1.019610e-001  1.314729e-002  1.337107e-004
 1.058820e-001  1.210853e-002  1.073745e-004
 1.098040e-001  1.119186e-002  1.117614e-004
 1.137250e-001  9.994831e-003  1.034296e-004
 1.176470e-001  9.459302e-003  1.078762e-004
 1.215690e-001  8.906977e-003  1.115819e-004
 1.254900e-001  8.273902e-003  1.141527e-004
 1.294120e-001  7.773256e-003  1.114710e-004
 1.333330e-001  6.868217e-003  9.924450e-005
 1.372550e-001  6.075581e-003  1.029634e-004
 1.411760e-001  5.684755e-003  9.531598e-005
 1.450980e-001  5.000000e-003  9.946845e-005
 1.490200e-001  4.660465e-003  1.134236e-004
 1.529410e-001  4.521447e-003  9.800657e-005
 1.568630e-001  3.896512e-003  9.761253e-005
 1.607840e-001  3.706977e-003  8.995731e-005
 1.647060e-001  3.430233e-003  9.430899e-005
 1.686270e-001  3.257558e-003  9.313726e-005
 1.725490e-001  3.105943e-003  8.666746e-005
 1.764710e-001  3.014535e-003  9.085530e-005
 1.803920e-001  2.903359e-003  8.466885e-005
 1.843140e-001  2.740698e-003  8.879973e-005
 1.882350e-001  2.676486e-003  8.280833e-005
 1.921570e-001  2.636628e-003  8.680637e-005
 1.960780e-001  2.496124e-003  8.068920e-005
 2.000000e-001  2.513953e-003  9.870792e-005
 2.039220e-001  2.588953e-003  9.186198e-005
 2.078430e-001  2.422222e-003  8.754068e-005
 2.117650e-001  2.275582e-003  8.610991e-005
 2.156860e-001  2.123514e-003  7.963911e-005
 2.196080e-001  2.179651e-003  8.335261e-005
 2.235290e-001  2.170930e-003  8.242767e-005
 2.274510e-001  2.106460e-003  7.681344e-005
 2.313730e-001  2.140698e-003  8.068036e-005
 2.352940e-001  2.113178e-003  7.533198e-005
 2.392160e-001  2.080233e-003  7.917968e-005
 2.431370e-001  2.039793e-003  7.395374e-005
 2.470590e-001  2.018023e-003  7.776143e-005
 2.509800e-001  2.024806e-003  8.905543e-005
 2.549020e-001  1.862016e-003  7.198996e-005
 2.588240e-001  2.008721e-003  7.601409e-005
 2.627450e-001  2.006201e-003  7.109419e-005
 2.666670e-001  1.917442e-003  7.482203e-005
 2.705880e-001  2.032041e-003  7.002614e-005
 2.745100e-001  1.988372e-003  7.371208e-005
 2.784310e-001  1.955233e-003  7.315688e-005
 2.823530e-001  1.894574e-003  7.124450e-005
 2.862750e-001  1.985465e-003  7.934490e-005
 2.901960e-001  1.813437e-003  7.053485e-005
 2.941180e-001  1.848837e-003  7.299291e-005
 2.980390e-001  1.813954e-003  8.339049e-005
 3.019610e-001  1.809302e-003  6.754561e-005
 3.058820e-001  1.915698e-003  7.099877e-005
 3.098040e-001  1.734884e-003  6.637408e-005
 3.137250e-001  1.808721e-003  6.984753e-005
 3.176470e-001  1.780879e-003  6.537501e-005
 3.215690e-001  1.622674e-003  6.867588e-005
 3.254900e-001  1.810336e-003  6.439282e-005
 3.294120e-001  1.727907e-003  6.789470e-005
 3.333330e-001  1.862209e-003  6.750414e-005
 3.372550e-001  1.665116e-003  6.432194e-005
 3.411760e-001  1.592442e-003  7.165678e-005
 3.450980e-001  1.790698e-003  6.861393e-005
 3.490200e-001  1.769768e-003  8.497302e-005
 3.529410e-001  1.680233e-003  7.410250e-005
 3.568630e-001  1.622739e-003  7.038794e-005
 3.607840e-001  1.540116e-003  7.492566e-005
 3.647060e-001  1.711628e-003  7.738288e-005
 3.686270e-001  1.676744e-003  8.611116e-005
 3.725490e-001  1.575194e-003  8.408720e-005
 3.764710e-001  1.733721e-003  9.225603e-005
 3.803920e-001  1.714535e-003  9.494859e-005
 3.843140e-001  1.596899e-003  9.228688e-005
 3.882350e-001  1.711628e-003  1.007452e-004
 3.921570e-001  1.725581e-003  9.739997e-005
 3.960780e-001  1.783721e-003  1.046905e-004
 4.000000e-001  1.756146e-003  1.144714e-004
 4.039220e-001  1.597674e-003  1.098522e-004
 4.078430e-001  1.641279e-003  1.129153e-004
 4.117650e-001  1.761240e-003  1.098231e-004
 4.156860e-001  1.541860e-003  1.200272e-004
 4.196080e-001  1.449612e-003  1.169563e-004
 4.235290e-001  1.378488e-003  1.281478e-004
 4.274510e-001  1.559690e-003  1.251763e-004
 4.313730e-001  1.619186e-003  1.378515e-004
 4.352940e-001  1.545930e-003  1.431770e-004
