Sample description: [1] Pconcetr
Sample: [1] Pconcetr  c= 4.32 mg/ml  Code: Pconcetr
Parent(s): SASDF73.dat
 1.000000e-002  9.877071e-001  3.911609e-003
 1.176470e-002  9.677071e-001  3.911609e-003
 1.568630e-002  9.431122e-001  2.865243e-003
 1.960780e-002  9.125633e-001  2.231493e-003
 2.352940e-002  8.769993e-001  2.060564e-003
 2.745100e-002  8.386103e-001  1.852769e-003
 3.137250e-002  7.890506e-001  1.585055e-003
 3.529410e-002  7.449833e-001  1.567074e-003
 3.921570e-002  7.010324e-001  1.692863e-003
 4.313730e-002  6.532734e-001  1.796782e-003
 4.705880e-002  5.971390e-001  1.881738e-003
 5.098040e-002  5.493929e-001  1.765290e-003
 5.490200e-002  5.029934e-001  1.564647e-003
 5.882350e-002  4.499586e-001  1.541879e-003
 6.274510e-002  4.113114e-001  1.473843e-003
 6.666670e-002  3.663528e-001  1.325656e-003
 7.058820e-002  3.272350e-001  1.348572e-003
 7.450980e-002  2.879513e-001  1.293058e-003
 7.843140e-002  2.546678e-001  1.167790e-003
 8.235290e-002  2.222554e-001  1.191224e-003
 8.627450e-002  1.974640e-001  1.149445e-003
 9.019610e-002  1.696174e-001  1.036467e-003
 9.411760e-002  1.464904e-001  1.067385e-003
 9.803920e-002  1.261831e-001  1.031622e-003
 1.019610e-001  1.101568e-001  1.000694e-003
 1.058820e-001  9.580268e-002  9.190103e-004
 1.098040e-001  8.081504e-002  9.469262e-004
 1.137250e-001  6.868099e-002  9.251273e-004
 1.176470e-001  6.063395e-002  8.534976e-004
 1.215690e-001  5.146549e-002  9.581695e-004
 1.254900e-001  4.801341e-002  1.011946e-003
 1.294120e-001  4.041592e-002  8.652429e-004
 1.333330e-001  3.582337e-002  8.716685e-004
 1.372550e-001  3.253103e-002  8.539419e-004
 1.411760e-001  2.996966e-002  7.921996e-004
 1.450980e-001  2.875339e-002  8.279687e-004
 1.490200e-001  2.547429e-002  8.366110e-004
 1.529410e-001  2.516213e-002  8.058715e-004
 1.568630e-001  2.188639e-002  8.012618e-004
 1.607840e-001  2.132279e-002  7.954279e-004
 1.647060e-001  2.056646e-002  7.384382e-004
 1.686270e-001  1.945210e-002  7.728801e-004
 1.725490e-001  1.827924e-002  7.642605e-004
 1.764710e-001  1.753593e-002  7.127279e-004
 1.803920e-001  1.650410e-002  7.481816e-004
 1.843140e-001  1.647812e-002  7.400180e-004
 1.882350e-001  1.436176e-002  6.912908e-004
 1.921570e-001  1.311611e-002  7.219345e-004
 1.960780e-001  1.145113e-002  7.144687e-004
 2.000000e-001  1.117616e-002  6.783401e-004
 2.039220e-001  1.195825e-002  7.769684e-004
 2.078430e-001  1.019140e-002  7.722243e-004
 2.117650e-001  9.686086e-003  7.180833e-004
 2.156860e-001  9.287785e-003  6.632760e-004
 2.196080e-001  9.051094e-003  6.968133e-004
 2.235290e-001  7.424856e-003  6.875041e-004
