Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: cat
Parent(s): cat_015.dat cat_013.dat cat_017.dat cat_011.dat
  1.828170e-01   1.818660e+02   1.020690e+00
  1.855510e-01   1.826720e+02   1.008040e+00
  1.882850e-01   1.804039e+02   9.814360e-01
  1.910190e-01   1.782659e+02   9.625690e-01
  1.937530e-01   1.784546e+02   9.541630e-01
  1.964870e-01   1.812623e+02   9.366470e-01
  1.992210e-01   1.765347e+02   9.266110e-01
  2.019550e-01   1.780317e+02   8.964950e-01
  2.046890e-01   1.726851e+02   8.927480e-01
  2.074230e-01   1.693220e+02   8.788830e-01
  2.101570e-01   1.716519e+02   8.773110e-01
  2.128910e-01   1.681797e+02   8.612110e-01
  2.156250e-01   1.701290e+02   8.450710e-01
  2.183590e-01   1.662948e+02   8.423220e-01
  2.210930e-01   1.668548e+02   8.239620e-01
  2.238270e-01   1.714028e+02   8.166860e-01
  2.265610e-01   1.683314e+02   8.081810e-01
  2.292950e-01   1.673428e+02   7.938770e-01
  2.320290e-01   1.634387e+02   7.976330e-01
  2.347640e-01   1.650157e+02   7.780390e-01
  2.374980e-01   1.636923e+02   7.812980e-01
  2.402320e-01   1.633765e+02   7.650940e-01
  2.429660e-01   1.581107e+02   7.564320e-01
  2.457000e-01   1.574158e+02   7.525310e-01
  2.484340e-01   1.558076e+02   7.319450e-01
  2.511680e-01   1.558765e+02   7.311500e-01
  2.539020e-01   1.543478e+02   7.235540e-01
  2.566360e-01   1.536026e+02   7.154950e-01
  2.593700e-01   1.546975e+02   7.032950e-01
  2.621040e-01   1.479277e+02   6.925250e-01
  2.648380e-01   1.491769e+02   6.900130e-01
  2.675720e-01   1.476656e+02   6.794970e-01
  2.703060e-01   1.463837e+02   6.689690e-01
  2.730400e-01   1.448331e+02   6.654870e-01
  2.757740e-01   1.429585e+02   6.533020e-01
  2.785080e-01   1.409577e+02   6.525270e-01
  2.812420e-01   1.405149e+02   6.374690e-01
  2.839760e-01   1.399448e+02   6.328150e-01
  2.867100e-01   1.398274e+02   6.285700e-01
  2.894440e-01   1.389570e+02   6.174220e-01
  2.921780e-01   1.352997e+02   6.125040e-01
  2.949120e-01   1.358511e+02   6.022810e-01
  2.976470e-01   1.347395e+02   5.977050e-01
  3.003810e-01   1.343297e+02   5.926670e-01
  3.031150e-01   1.319062e+02   5.840040e-01
  3.058490e-01   1.289163e+02   5.775130e-01
  3.085830e-01   1.289147e+02   5.718310e-01
  3.113170e-01   1.286206e+02   5.628120e-01
  3.140510e-01   1.286510e+02   5.612690e-01
  3.167850e-01   1.276950e+02   5.503830e-01
  3.195190e-01   1.259397e+02   5.446280e-01
  3.222530e-01   1.249381e+02   5.432620e-01
  3.249870e-01   1.206926e+02   5.358910e-01
  3.277210e-01   1.206623e+02   5.263960e-01
  3.304550e-01   1.195020e+02   5.215530e-01
  3.331890e-01   1.198191e+02   5.195760e-01
  3.359230e-01   1.191392e+02   5.157520e-01
  3.386570e-01   1.156159e+02   5.077680e-01
  3.413910e-01   1.163869e+02   4.971890e-01
  3.441250e-01   1.155373e+02   4.971380e-01
  3.468590e-01   1.124905e+02   4.904550e-01
  3.495930e-01   1.118802e+02   4.884250e-01
  3.523270e-01   1.122703e+02   4.794980e-01
  3.550610e-01   1.092733e+02   4.741450e-01
  3.577950e-01   1.092393e+02   4.717450e-01
  3.605300e-01   1.085080e+02   4.685910e-01
  3.632640e-01   1.069150e+02   4.628270e-01
  3.659980e-01   1.062800e+02   4.570910e-01
  3.687320e-01   1.046180e+02   4.525050e-01
  3.714660e-01   1.034980e+02   4.515670e-01
  3.742000e-01   1.024420e+02   4.417660e-01
  3.769340e-01   1.012430e+02   4.404030e-01
  3.796680e-01   9.987670e+01   4.347780e-01
  3.824020e-01   9.855980e+01   4.301230e-01
  3.851360e-01   9.774260e+01   4.278700e-01
  3.878700e-01   9.647580e+01   4.199320e-01
  3.906040e-01   9.526390e+01   4.182090e-01
  3.933380e-01   9.431990e+01   4.125690e-01
  3.960720e-01   9.349680e+01   4.105320e-01
  3.988060e-01   9.266460e+01   4.048520e-01
  4.015400e-01   9.182880e+01   4.040280e-01
  4.042740e-01   9.107120e+01   4.019280e-01
  4.070080e-01   8.959940e+01   3.948120e-01
