Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 1.511550e-001  1.153628e+003  2.489236e+001
 1.539110e-001  1.191541e+003  2.443047e+001
 1.566680e-001  1.163271e+003  2.445963e+001
 1.594240e-001  1.170431e+003  2.358023e+001
 1.621800e-001  1.140598e+003  2.372146e+001
 1.649370e-001  1.135774e+003  2.311408e+001
 1.676930e-001  1.172049e+003  2.266251e+001
 1.704500e-001  1.194060e+003  2.276480e+001
 1.732060e-001  1.181418e+003  2.207938e+001
 1.759630e-001  1.144629e+003  2.218576e+001
 1.787190e-001  1.145692e+003  2.147457e+001
 1.814750e-001  1.175598e+003  2.137580e+001
 1.842320e-001  1.151440e+003  2.137336e+001
 1.869880e-001  1.171487e+003  2.067774e+001
 1.897450e-001  1.165140e+003  2.097059e+001
 1.925010e-001  1.153138e+003  2.035131e+001
 1.952580e-001  1.191516e+003  2.035850e+001
 1.980140e-001  1.153160e+003  2.010325e+001
 2.007710e-001  1.156743e+003  1.972000e+001
 2.035270e-001  1.158893e+003  1.989268e+001
 2.062830e-001  1.189015e+003  1.933668e+001
 2.090400e-001  1.161439e+003  1.969750e+001
 2.117960e-001  1.174771e+003  1.962846e+001
 2.145530e-001  1.125754e+003  1.977866e+001
 2.173090e-001  1.186456e+003  1.989450e+001
 2.200660e-001  1.137108e+003  1.957649e+001
 2.228220e-001  1.136340e+003  1.989578e+001
 2.255780e-001  1.149641e+003  1.962328e+001
 2.283350e-001  1.155875e+003  1.976066e+001
 2.310910e-001  1.167037e+003  1.956869e+001
 2.338480e-001  1.153105e+003  1.937932e+001
 2.366040e-001  1.174172e+003  1.973643e+001
 2.393610e-001  1.160313e+003  1.930989e+001
 2.421170e-001  1.191661e+003  1.961001e+001
 2.448740e-001  1.152465e+003  1.908206e+001
 2.476300e-001  1.116239e+003  1.924586e+001
 2.503860e-001  1.159353e+003  1.932937e+001
 2.531430e-001  1.177017e+003  1.891713e+001
 2.558990e-001  1.166499e+003  1.931886e+001
 2.586560e-001  1.159644e+003  1.884989e+001
 2.614120e-001  1.141604e+003  1.886169e+001
 2.641690e-001  1.128812e+003  1.882005e+001
 2.669250e-001  1.128806e+003  1.846994e+001
 2.696810e-001  1.144748e+003  1.826667e+001
 2.724380e-001  1.153501e+003  1.778593e+001
 2.751940e-001  1.139675e+003  1.774753e+001
 2.779510e-001  1.116094e+003  1.731107e+001
 2.807070e-001  1.138544e+003  1.725480e+001
 2.834640e-001  1.156017e+003  1.725301e+001
 2.862200e-001  1.156691e+003  1.673631e+001
 2.889770e-001  1.151412e+003  1.695498e+001
 2.917330e-001  1.130273e+003  1.661625e+001
 2.944890e-001  1.121220e+003  1.650250e+001
 2.972460e-001  1.150495e+003  1.660765e+001
 3.000020e-001  1.145420e+003  1.607466e+001
 3.027590e-001  1.153989e+003  1.631248e+001
 3.055150e-001  1.137967e+003  1.609427e+001
 3.082720e-001  1.151976e+003  1.602670e+001
 3.110280e-001  1.129765e+003  1.589889e+001
 3.137850e-001  1.112885e+003  1.572204e+001
 3.165410e-001  1.142457e+003  1.568495e+001
 3.192970e-001  1.124826e+003  1.543538e+001
 3.220540e-001  1.130911e+003  1.553455e+001
 3.248100e-001  1.129575e+003  1.550075e+001
 3.275670e-001  1.145343e+003  1.521553e+001
 3.303230e-001  1.130767e+003  1.535328e+001
 3.330800e-001  1.127455e+003  1.502035e+001
 3.358360e-001  1.136970e+003  1.510563e+001
 3.385920e-001  1.143074e+003  1.498372e+001
 3.413490e-001  1.124117e+003  1.489678e+001
 3.441050e-001  1.113523e+003  1.517064e+001
 3.468620e-001  1.106595e+003  1.511169e+001
 3.496180e-001  1.104334e+003  1.531998e+001
 3.523750e-001  1.120983e+003  1.524842e+001
 3.551310e-001  1.135524e+003  1.529372e+001
 3.578880e-001  1.137324e+003  1.537584e+001
 3.606440e-001  1.129877e+003  1.524073e+001
 3.634000e-001  1.110974e+003  1.545248e+001
 3.661570e-001  1.116629e+003  1.520705e+001
 3.689130e-001  1.097421e+003  1.528285e+001
 3.716700e-001  1.114367e+003  1.526388e+001
 3.744260e-001  1.110472e+003  1.516506e+001
 3.771830e-001  1.110826e+003  1.530979e+001
 3.799390e-001  1.126083e+003  1.514041e+001
 3.826950e-001  1.115311e+003  1.527153e+001
 3.854520e-001  1.107769e+003  1.502746e+001
 3.882080e-001  1.091073e+003  1.520168e+001
 3.909650e-001  1.119541e+003  1.507836e+001
 3.937210e-001  1.102109e+003  1.506624e+001
 3.964780e-001  1.104944e+003  1.521662e+001
 3.992340e-001  1.122053e+003  1.486751e+001
 4.019910e-001  1.109720e+003  1.506930e+001
 4.047470e-001  1.094659e+003  1.489463e+001
 4.075030e-001  1.091813e+003  1.493639e+001
 4.102600e-001  1.114084e+003  1.505418e+001
 4.130160e-001  1.106211e+003  1.477009e+001
 4.157730e-001  1.117200e+003  1.507301e+001
 4.185290e-001  1.098245e+003  1.473674e+001
 4.212860e-001  1.093478e+003  1.480789e+001
 4.240420e-001  1.081113e+003  1.478883e+001
 4.267990e-001  1.117014e+003  1.470137e+001
 4.295550e-001  1.102064e+003  1.486919e+001
 4.323110e-001  1.074782e+003  1.453473e+001
 4.350680e-001  1.071242e+003  1.473729e+001
 4.378240e-001  1.074368e+003  1.463341e+001
 4.405810e-001  1.110872e+003  1.452127e+001
 4.433370e-001  1.080424e+003  1.470751e+001
 4.460940e-001  1.091791e+003  1.439148e+001
 4.488500e-001  1.067512e+003  1.464587e+001
 4.516060e-001  1.081010e+003  1.441648e+001
 4.543630e-001  1.078473e+003  1.445821e+001
 4.571190e-001  1.084782e+003  1.454895e+001
 4.598760e-001  1.071998e+003  1.462008e+001
 4.626320e-001  1.081445e+003  1.485778e+001
 4.653890e-001  1.069355e+003  1.473756e+001
 4.681450e-001  1.087617e+003  1.491209e+001
 4.709020e-001  1.079414e+003  1.490746e+001
 4.736580e-001  1.060446e+003  1.499003e+001
 4.764140e-001  1.070565e+003  1.515081e+001
 4.791710e-001  1.061342e+003  1.494426e+001
 4.819270e-001  1.067903e+003  1.527305e+001
 4.846840e-001  1.082401e+003  1.511582e+001
 4.874400e-001  1.055152e+003  1.511464e+001
 4.901970e-001  1.038032e+003  1.504727e+001
 4.929530e-001  1.061986e+003  1.487205e+001
 4.957090e-001  1.072210e+003  1.500977e+001
 4.984660e-001  1.033575e+003  1.475902e+001
 5.012220e-001  1.040646e+003  1.480491e+001
 5.039790e-001  1.037516e+003  1.450512e+001
 5.067350e-001  1.057145e+003  1.449048e+001
 5.094920e-001  1.039652e+003  1.451503e+001
 5.122480e-001  1.040648e+003  1.432418e+001
 5.150050e-001  1.001290e+003  1.431416e+001
 5.177610e-001  1.041738e+003  1.417930e+001
 5.205170e-001  1.063237e+003  1.423569e+001
 5.232740e-001  1.051083e+003  1.419811e+001
 5.260300e-001  1.045831e+003  1.405485e+001
 5.287870e-001  1.034011e+003  1.421504e+001
 5.315430e-001  1.051317e+003  1.404449e+001
 5.343000e-001  1.051430e+003  1.415199e+001
 5.370560e-001  1.023720e+003  1.404462e+001
 5.398120e-001  1.033637e+003  1.407810e+001
 5.425690e-001  1.030715e+003  1.413809e+001
 5.453250e-001  1.018272e+003  1.399982e+001
 5.480820e-001  1.020064e+003  1.412835e+001
 5.508380e-001  1.031156e+003  1.391417e+001
 5.535950e-001  1.029704e+003  1.407361e+001
 5.563510e-001  1.021037e+003  1.396753e+001
 5.591080e-001  1.034175e+003  1.383932e+001
 5.618640e-001  9.955318e+002  1.383661e+001
 5.646200e-001  1.024044e+003  1.370595e+001
 5.673770e-001  1.012040e+003  1.389357e+001
 5.701330e-001  1.021243e+003  1.365635e+001
 5.728900e-001  1.018363e+003  1.353648e+001
 5.756460e-001  1.015334e+003  1.362828e+001
 5.784030e-001  9.905940e+002  1.351227e+001
 5.811590e-001  9.930574e+002  1.362558e+001
 5.839160e-001  1.004281e+003  1.342027e+001
 5.866720e-001  9.918783e+002  1.349225e+001
 5.894280e-001  9.875600e+002  1.347787e+001
 5.921850e-001  1.009612e+003  1.336488e+001
 5.949410e-001  9.970099e+002  1.349503e+001
 5.976980e-001  9.799466e+002  1.323598e+001
 6.004540e-001  9.949189e+002  1.341835e+001
 6.032110e-001  9.967647e+002  1.339313e+001
 6.059670e-001  9.863804e+002  1.319309e+001
 6.087230e-001  9.787819e+002  1.333785e+001
 6.114800e-001  9.961836e+002  1.320200e+001
 6.142360e-001  9.798125e+002  1.332479e+001
 6.169930e-001  1.000396e+003  1.331421e+001
 6.197490e-001  9.974831e+002  1.311869e+001
 6.225060e-001  9.776821e+002  1.319332e+001
