Sample:   c= 8.5500 mg/ml  Code: 
Parent(s): C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa_secwaxs_20170423c.dat C:/Maxim/Waxs_water_consensus/Comparall/Bsa/bsa0_hepesbsa0_0018.dat
 1.354120e-001  4.264518e+001  1.088143e-001
 1.459630e-001  4.235712e+001  1.063181e-001
 1.565150e-001  4.180760e+001  9.973421e-002
 1.670660e-001  4.133619e+001  9.437728e-002
 1.776180e-001  4.089722e+001  9.412308e-002
 1.881690e-001  4.082233e+001  8.549219e-002
 1.987210e-001  4.043150e+001  8.995327e-002
 2.092720e-001  4.036045e+001  8.626392e-002
 2.198240e-001  3.977548e+001  8.900959e-002
 2.303750e-001  3.908047e+001  8.483468e-002
 2.409270e-001  3.853341e+001  8.055454e-002
 2.514780e-001  3.824065e+001  8.403838e-002
 2.620300e-001  3.759705e+001  7.839403e-002
 2.725820e-001  3.710179e+001  7.973584e-002
 2.831330e-001  3.648984e+001  7.550226e-002
 2.936850e-001  3.606762e+001  7.518093e-002
 3.042360e-001  3.518843e+001  7.339052e-002
 3.147880e-001  3.498676e+001  7.120557e-002
 3.253390e-001  3.429552e+001  7.172491e-002
 3.358910e-001  3.386101e+001  6.880335e-002
 3.464420e-001  3.322785e+001  6.810660e-002
 3.569940e-001  3.250941e+001  6.565114e-002
 3.675450e-001  3.191308e+001  6.603143e-002
 3.780970e-001  3.129237e+001  6.431752e-002
 3.886480e-001  3.067438e+001  6.265427e-002
 3.992000e-001  2.990700e+001  6.235660e-002
 4.097510e-001  2.929947e+001  5.923173e-002
 4.203030e-001  2.868334e+001  6.021734e-002
 4.308550e-001  2.799635e+001  5.901521e-002
 4.414060e-001  2.739387e+001  5.680074e-002
 4.519580e-001  2.657327e+001  5.628555e-002
 4.625090e-001  2.613672e+001  5.514343e-002
 4.730610e-001  2.548933e+001  5.569980e-002
 4.836120e-001  2.475023e+001  5.344279e-002
 4.941640e-001  2.424214e+001  5.229307e-002
 5.047150e-001  2.344650e+001  5.155621e-002
 5.152670e-001  2.276935e+001  5.041020e-002
 5.258180e-001  2.208697e+001  5.077248e-002
 5.363700e-001  2.158959e+001  4.859965e-002
 5.469210e-001  2.084851e+001  4.885846e-002
 5.574730e-001  2.027395e+001  4.819624e-002
 5.680240e-001  1.961361e+001  4.594029e-002
 5.785760e-001  1.902512e+001  4.647225e-002
 5.891280e-001  1.842779e+001  4.436780e-002
 5.996790e-001  1.783802e+001  4.530443e-002
 6.102310e-001  1.722613e+001  4.385300e-002
 6.207820e-001  1.658736e+001  4.298311e-002
 6.313340e-001  1.610112e+001  4.253725e-002
 6.418850e-001  1.549935e+001  4.138558e-002
 6.524370e-001  1.493044e+001  4.185171e-002
 6.629880e-001  1.449598e+001  4.012871e-002
 6.735400e-001  1.387570e+001  4.018946e-002
 6.840910e-001  1.335258e+001  3.933890e-002
 6.946430e-001  1.296089e+001  3.885261e-002
 7.051940e-001  1.246490e+001  3.828912e-002
 7.157460e-001  1.186695e+001  3.734263e-002
 7.262970e-001  1.141090e+001  3.743562e-002
 7.368490e-001  1.099335e+001  3.685341e-002
 7.474010e-001  1.058192e+001  3.578138e-002
 7.579520e-001  1.009433e+001  3.573329e-002
 7.685040e-001  9.653028e+000  3.461386e-002
 7.790550e-001  9.263847e+000  3.511875e-002
 7.896070e-001  8.920559e+000  3.438903e-002
 8.001580e-001  8.535281e+000  3.379199e-002
 8.107100e-001  8.176172e+000  3.303878e-002
 8.212610e-001  7.776889e+000  3.250869e-002
 8.318130e-001  7.362038e+000  3.305086e-002
 8.423640e-001  7.171991e+000  3.188833e-002
 8.529160e-001  6.820975e+000  3.202802e-002
 8.634670e-001  6.390247e+000  3.140677e-002
 8.740190e-001  6.215038e+000  3.115623e-002
 8.845700e-001  5.925912e+000  3.113394e-002
