#
Additional constant subtracted from data: 0.000000
         q              I             Err
   0.0066275299   0.0367096998   0.0051634000
   0.0074072401   0.0367919989   0.0015016050
   0.0081869503   0.0368255004   0.0007428150
   0.0089666499   0.0362072997   0.0004564895
   0.0097463597   0.0362874009   0.0003185610
   0.0105261002   0.0362223014   0.0002326720
   0.0113057997   0.0357249007   0.0002080275
   0.0120855002   0.0352209993   0.0001889840
   0.0128651997   0.0351076983   0.0001652925
   0.0136449002   0.0347782001   0.0001536945
   0.0144245997   0.0348057002   0.0001477270
   0.0152043002   0.0344080999   0.0001329285
   0.0159840006   0.0338829011   0.0001275425
   0.0167637002   0.0337667018   0.0001277465
   0.0175433997   0.0335084982   0.0001177145
   0.0183230992   0.0329531990   0.0001138265
   0.0191028006   0.0328254998   0.0001113105
   0.0198825002   0.0322267003   0.0001076515
   0.0206621997   0.0319242999   0.0001042735
   0.0214418992   0.0316643007   0.0000990550
   0.0222216006   0.0313010998   0.0001209775
   0.0230013002   0.0309108999   0.0001161845
   0.0237809997   0.0305643007   0.0001163655
   0.0245606992   0.0301371999   0.0001137110
   0.0253404006   0.0295090005   0.0001005200
   0.0261201002   0.0289987009   0.0001040970
   0.0268997997   0.0287087001   0.0000984250
   0.0276794992   0.0284333993   0.0001045425
   0.0284592006   0.0278443005   0.0000992165
   0.0292389002   0.0276510008   0.0001237775
   0.0300184991   0.0271690991   0.0001116640
   0.0307982005   0.0267638993   0.0001120390
   0.0315779001   0.0262666997   0.0001017280
   0.0323575996   0.0257367007   0.0001136915
   0.0331372991   0.0251682997   0.0001147770
   0.0339169987   0.0248735994   0.0001048565
   0.0346966982   0.0243170001   0.0000973275
   0.0354763009   0.0236793999   0.0000901185
   0.0362560004   0.0232381001   0.0000890245
   0.0370356999   0.0227898993   0.0000829290
   0.0378153995   0.0222724006   0.0000810785
   0.0385949984   0.0217112005   0.0000798490
   0.0393747017   0.0211098995   0.0001001000
   0.0401544012   0.0207620002   0.0000744300
   0.0409341007   0.0201501008   0.0000727770
   0.0417136997   0.0197190009   0.0000740845
   0.0424933992   0.0191721004   0.0000710365
   0.0432730988   0.0187104996   0.0000676765
   0.0440527014   0.0182098001   0.0001019835
   0.0448324010   0.0178228002   0.0000857805
   0.0456121005   0.0172736999   0.0000670030
   0.0463916995   0.0168127995   0.0000677135
   0.0471713990   0.0162838995   0.0000638815
   0.0479510017   0.0158338007   0.0000781695
   0.0487307012   0.0153921004   0.0000624215
   0.0495103002   0.0148590999   0.0000619585
   0.0502899997   0.0144186001   0.0000595890
   0.0510695986   0.0140127996   0.0000618670
   0.0518492982   0.0136356996   0.0000584255
   0.0526289009   0.0131229004   0.0000565905
   0.0534086004   0.0127573004   0.0000619905
   0.0541881993   0.0123233004   0.0000600405
   0.0549677983   0.0118375001   0.0000592735
   0.0557475016   0.0114141004   0.0000603430
   0.0565271005   0.0110429004   0.0000587725
   0.0573066995   0.0106579997   0.0000601315
   0.0580863990   0.0102199996   0.0000573130
   0.0588660017   0.0097891502   0.0000580400
   0.0596456006   0.0095673101   0.0000588510
   0.0604253002   0.0090953801   0.0000649955
   0.0612048991   0.0088343201   0.0000622285
   0.0619845018   0.0083724903   0.0000556120
   0.0627641007   0.0080547696   0.0000554850
   0.0635436997   0.0077622901   0.0000542830
   0.0643232986   0.0073881699   0.0000541525
   0.0651030019   0.0070708399   0.0000527650
   0.0658826008   0.0067354999   0.0000493489
   0.0666621998   0.0065047499   0.0000567585
   0.0674417987   0.0062638102   0.0000496529
   0.0682213977   0.0059395502   0.0000567150
   0.0690009966   0.0056607402   0.0000579460
   0.0697806031   0.0053685200   0.0000497928
   0.0705602020   0.0050675902   0.0000625070
   0.0713396966   0.0048408802   0.0000634540
   0.0721193030   0.0045302999   0.0000467398
   0.0728989020   0.0043064798   0.0000474030
   0.0736785010   0.0042133401   0.0000458929
   0.0744580999   0.0039235000   0.0000447755
   0.0752376989   0.0036981499   0.0000465057
   0.0760172009   0.0034859399   0.0000452045
   0.0767967999   0.0033565899   0.0000507225
   0.0775763988   0.0031883200   0.0000436880
   0.0783559009   0.0029620000   0.0000500185
   0.0791354999   0.0027726199   0.0000431401
   0.0799150988   0.0026238800   0.0000427609
   0.0806946009   0.0023467799   0.0000415840
   0.0814741999   0.0023170500   0.0000425053
   0.0822537020   0.0021806399   0.0000417153
   0.0830333009   0.0020105799   0.0000420231
   0.0838128030   0.0019243400   0.0000471199
   0.0845924020   0.0017520200   0.0000409837
   0.0853718966   0.0016183200   0.0000401317
   0.0861513987   0.0015442300   0.0000491548
   0.0869309977   0.0014808900   0.0000520065
   0.0877104998   0.0013371900   0.0000400261
   0.0884900019   0.0012903200   0.0000399511
   0.0892694965   0.0010989100   0.0000426495
   0.0900491029   0.0010572301   0.0000386604
   0.0908285975   0.0009940690   0.0000389137
   0.0916080996   0.0009418900   0.0000389476
   0.0923876017   0.0008005700   0.0000430269
   0.0931670964   0.0008516250   0.0000389756
   0.0939465985   0.0007384970   0.0000374910
   0.0947261006   0.0006102260   0.0000418912
   0.0955056027   0.0006342290   0.0000377153
   0.0962850973   0.0005184630   0.0000375422
   0.0970645994   0.0004745100   0.0000365420
   0.0978441015   0.0004727580   0.0000411258
   0.0986234993   0.0004809980   0.0000360088
   0.0994030014   0.0003940610   0.0000362954
   0.1001819968   0.0003446890   0.0000365183
   0.1009619981   0.0003345940   0.0000357638
   0.1017410010   0.0002787050   0.0000433816
   0.1025210023   0.0003240540   0.0000362922
   0.1032999977   0.0002809260   0.0000394746
   0.1040799990   0.0002770820   0.0000394008
   0.1048590019   0.0002154470   0.0000428088
   0.1056390032   0.0002086040   0.0000369430
   0.1064179987   0.0002232240   0.0000401782
   0.1071980000   0.0001804720   0.0000407303
   0.1079770029   0.0001070330   0.0000442935
   0.1087559983   0.0001852630   0.0000479162
   0.1095359996   0.0001954830   0.0000406595
   0.1103150025   0.0001670970   0.0000370275
   0.1110949963   0.0002661010   0.0000371932
   0.1118739992   0.0001123560   0.0000375076
   0.1126540005   0.0001193670   0.0000359703
   0.1134330034   0.0001906030   0.0000388602
   0.1142119989   0.0001901690   0.0000352390
   0.1149920002   0.0001294370   0.0000412917
   0.1157710031   0.0001501420   0.0000412426
   0.1165509969   0.0001472100   0.0000404810
   0.1173299998   0.0001255100   0.0000374680
   0.1181090027   0.0001371860   0.0000348255
   0.1188889965   0.0002603480   0.0000335735
   0.1196679994   0.0001943340   0.0000371199
   0.1204470024   0.0001731360   0.0000373631
   0.1212270036   0.0001634880   0.0000365367
   0.1220059991   0.0001342700   0.0000335930
   0.1227850020   0.0001713380   0.0000330945
   0.1235650033   0.0002051980   0.0000333733
   0.1243439987   0.0002061180   0.0000361164
   0.1251239926   0.0002225060   0.0000329608
   0.1259029955   0.0001884700   0.0000382374
   0.1266819984   0.0002230360   0.0000323599
   0.1274619997   0.0002668380   0.0000322814
   0.1282410026   0.0002178320   0.0000323008
   0.1290200055   0.0002403630   0.0000376286
   0.1297989935   0.0002920090   0.0000371979
   0.1305789948   0.0002108080   0.0000351750
   0.1313579977   0.0002898180   0.0000337365
   0.1321370006   0.0001749140   0.0000317137
   0.1329170018   0.0002548420   0.0000313528
   0.1336960047   0.0002645110   0.0000364222
   0.1344749928   0.0002325420   0.0000338611
   0.1352549940   0.0002023510   0.0000311655
   0.1360339969   0.0002566280   0.0000347300
   0.1368129998   0.0002478270   0.0000378669
